ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
0,2015,USA,South,Soybeans,1658.71,13.36,2.62,10,74.41,38.97,2.64,46.07,Manajemen Air,20.43
1,2022,China,East,Wheat,1478.74,9.55,0.57,2,36.9,49.99,77.22,88.87,Rotasi Tanaman,-0.33
2,2000,India,West Bengal,Fruits,1252.34,27.37,2.115,3,34.21,2.75,83.94,77.15,Pertanian Organik,12.97
3,2008,Nigeria,North West,Sugarcane,209.89,16.16,4.158,5,91.74,36.8,37.5,73.59,Pertanian Organik,12.81
4,1991,Canada,Ontario,Vegetables,1086.67,3.71,2.43,0,14.72,7.22,28.72,41.9,Tanpa Adaptasi,4.22
5,1990,Australia,Queensland,Fruits,2265.29,2.33,2.03,4,79.39,48.8,3.3,77.63,Tanpa Adaptasi,14.7
6,2017,Russia,Northwestern,Rice,586.35,7.0,1.07,10,88.96,42.2,71.15,45.82,Tanaman Tahan Kekeringan,7.34
7,1995,China,Central,Vegetables,2281.25,24.21,2.907,1,27.44,23.94,13.96,50.97,Tanaman Tahan Kekeringan,16.97
8,2016,France,Provence-Alpes-Cote d’Azur,Wheat,792.07,10.31,3.42,1,51.51,4.6,75.99,94.94,Pertanian Organik,30.23
9,1991,Nigeria,North West,Cotton,1746.26,25.28,2.772,7,39.09,9.33,90.96,59.65,Manajemen Air,20.3
10,2008,Argentina,Pampas,Barley,1653.72,29.45,2.817,8,49.9,38.76,87.34,37.86,Tanpa Adaptasi,25.79
11,1996,USA,South,Soybeans,1615.5030597110344,17.41,2.898,8,94.05,18.1,32.65,41.07,Rotasi Tanaman,21.67
12,1990,Russia,Volga,Soybeans,2110.11,9.34,0.8,4,64.44,6.22,65.73,46.02,Tanpa Adaptasi,24.12
13,1996,Australia,Victoria,Coffee,1300.08,11.78,3.3,1,78.33,14.84,76.15,77.12,Rotasi Tanaman,28.38
